,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status
3942,Delmanor Prince Edward - 3rd & 5th Fl,4180 Dundas Street W,Retirement Home,Respiratory,Coronavirus,2023-06-08,2023-06-28,Inactive
3943,Donway Place - North York - 2nd & 3rd Fl,8 The Donway E,Retirement Home,Respiratory,Coronavirus,2023-06-07,2023-06-21,Inactive
3944,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza A,2023-06-07,2023-06-27,Inactive
3945,"Norfinch Care Community - Unit 1A, 2A, 2B & 3A",22 Norfinch Dr,LTCH,Respiratory,Coronavirus,2023-06-07,2023-07-20,Inactive
3946,Belmont House - 4WW,55 Belmont St,LTCH,Enteric,Unable to identify,2023-06-05,2023-06-12,Inactive
3947,Harmony Hills Care Community - 1A (Melody Lane) & 3A (Rainbow Valley),1800 O'Connor Drive,LTCH,Respiratory,Coronavirus,2023-06-05,2023-06-16,Inactive
3948,Scarborough Retirement Residence - 4th Fl,148 Markham Rd,Retirement Home,Respiratory,Rhinovirus,2023-06-05,2023-06-12,Inactive
3949,Unity Health Toronto - Houses of Providence - HOP 2E - Chestnut,3276 St Clair Ave E,LTCH,Respiratory,Coronavirus,2023-06-05,2023-06-16,Inactive
3950,McNicoll Manor/Moll Berczy Haus - 4 West,1020 McNicoll Ave,Retirement Home,Respiratory,Coronavirus,2023-06-04,2023-06-14,Inactive
3951,Ina Grafton Gage Home - 2nd Fl,40 Bell Estate Rd,LTCH,Respiratory,Coronavirus,2023-06-03,2023-06-15,Inactive
3952,Fudger House - 2 West,439 Sherbourne St,LTCH,Respiratory,Coronavirus,2023-06-02,2023-06-12,Inactive
3953,"Yee Hong Centre - Scarborough Finch - 5th Fl, South",60 Scottfield Dr,LTCH,Respiratory,Coronavirus,2023-06-01,2023-06-08,Inactive
3954,Dom Lipa - West 1 & West 2,52 Neilson Drive,LTCH,Respiratory,Coronavirus,2023-05-31,2023-06-20,Inactive
3955,Extendicare Scarborough - 1st & 2nd Fl,3830 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2023-05-31,2023-06-10,Inactive
3956,Tony Stacey Centre for Veterans' Care,59 Lawson Rd,LTCH,Respiratory,Coronavirus,2023-05-31,2023-06-22,Inactive
3957,UHN - Princess Margaret Hospital - 15B,610 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza,2023-05-31,2023-06-15,Inactive
3958,Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Respiratory,Coronavirus,2023-05-30,2023-06-19,Inactive
3959,Unity Health Toronto - St. Joseph's - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2023-05-30,2023-06-09,Inactive
3960,William Osler Health System - RCC Church - 5th Fl,200 Church Street,Transitional Care,Respiratory,Coronavirus,2023-05-30,2023-06-06,Inactive
3961,Cedarvale Terrace - 3rd & 5th Fl,429 Walmer Road,LTCH,Respiratory,Coronavirus,2023-05-29,2023-06-27,Inactive
3962,Runnymede Healthcare Centre - 3 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2023-05-29,2023-06-07,Inactive
3963,North York General Hospital - General Site - 5 West,4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-05-28,2023-06-14,Inactive
3964,Terraces of Baycrest - 6th Fl,55 Ameer Ave,LTCH,Respiratory,Coronavirus,2023-05-27,2023-06-03,Inactive
3965,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2023-05-27,2023-06-03,Inactive
3966,Cedarbrook Lodge Retirement Residence - 2nd Fl,520 Markham Rd,Retirement Home,Respiratory,Unable to identify,2023-05-26,2023-06-04,Inactive
3967,Elm Grove Living Centre - 1st Fl,35 Elm Grove Ave,LTCH,Respiratory,Coronavirus,2023-05-26,2023-06-22,Inactive
3968,The Heritage Nursing Home - 2nd Fl,1195 Queen St E,LTCH,Respiratory,Coronavirus,2023-05-26,2023-06-19,Inactive
3969,Unity Health Toronto - Providence - D3,3276 St. Clair Avenue East,Hospital-Chronic Care,Respiratory,Coronavirus,2023-05-26,2023-06-01,Inactive
3970,Rockcliffe Care Community - 1st Fl,3015 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2023-05-25,2023-06-16,Inactive
3971,Belmont House,55 Belmont St,Retirement Home,Enteric,Norovirus,2023-05-24,2023-06-06,Inactive
3972,North York General Hospital - Seniors' Health Centre - 3rd Fl,2 Buchan Crt,LTCH,Respiratory,Coronavirus,2023-05-24,2023-06-03,Inactive
3973,Centre for Addiction and Mental Health - Queen Street Site - PRT 6,1001 Queen Street West,Hospital-Psychiatric,Respiratory,Coronavirus,2023-05-23,2023-06-02,Inactive
3974,Eatonville Care Centre - Unit 2,420 The East Mall,LTCH,Respiratory,Respiratory syncytial virus,2023-05-23,2023-06-01,Inactive
3975,The Wexford - 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2023-05-23,2023-06-04,Inactive
3976,University Health Network - Toronto Western - 8A,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-05-23,2023-05-31,Inactive
3977,Delmanor Wynford,187 Wynford Dr,Retirement Home,Respiratory,Coronavirus,2023-05-22,2023-05-31,Inactive
3978,Hellenic Home - 3A,2411 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2023-05-22,2023-06-07,Inactive
3979,Fairview Nursing Home - 1st Fl,14 Cross St,LTCH,Respiratory,Respiratory syncytial virus,2023-05-21,2023-05-29,Inactive
3980,Centre for Addiction and Mental Health - Queen Street Site - Unit 3-5,1001 Queen Street West,Hospital-Psychiatric,Respiratory,Coronavirus,2023-05-17,2023-05-30,Inactive
3981,Craiglee Nursing Home - 2 East,102 Craiglee Dr,LTCH,Respiratory,Coronavirus,2023-05-17,2023-05-31,Inactive
3982,Retirement Suites by the Lake - 2nd & 3rd Fl,2121 Kingston Rd,Retirement Home,Respiratory,Coronavirus,2023-05-17,2023-05-30,Inactive
3983,The O'Neill Centre - 2nd & 4th Fl,33 Christie St,LTCH,Respiratory,Coronavirus,2023-05-16,2023-06-23,Inactive
3984,Castleview Wychwood Towers - 4W,351 Christie St,LTCH,Respiratory,Coronavirus,2023-05-15,2023-05-29,Inactive
3985,Midland Gardens Care Community - 2nd & 6th Fl,130 Midland Ave,LTCH,Respiratory,Coronavirus,2023-05-15,2023-05-30,Inactive
3986,Cheltenham Care Community - 2nd Fl,5935 Bathurst St,LTCH,Respiratory,Coronavirus,2023-05-13,2023-05-29,Inactive
3987,Jewish Home for the Aged - 6RF,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2023-05-13,2023-05-23,Inactive
3988,TEHN - Atrium At Kew Beach - MGH Affiliated Unit - 2nd Fl,500 Kingston Rd,Hospital-Chronic Care,Respiratory,Metapneumovirus,2023-05-12,2023-05-18,Inactive
3989,University Health Network - Toronto Western - 5B,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-05-12,2023-05-26,Inactive
3990,Sunnybrook Health Sciences Centre - LTSE & LTSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2023-05-11,2023-05-27,Inactive
3991,Norwood Nursing Home - 1st Fl,122 Tyndall Ave,LTCH,Respiratory,Coronavirus,2023-05-10,2023-05-16,Inactive
3992,Better Living at Thompson House - 3rd Fl,1 Overland Dr,LTCH,Respiratory,Coronavirus,2023-05-09,2023-05-20,Inactive
3993,"Leaside Retirement Residence - 2nd Fl, 3rd Fl (MC) & 7th Fl Building 10",10 -14 William Morgan Drive,Retirement Home,Respiratory,Coronavirus,2023-05-09,2023-06-01,Inactive
3994,Belmont House,55 Belmont Street,Retirement Home,Respiratory,Coronavirus,2023-05-08,2023-05-15,Inactive
3995,Holland Bloorview Kids Rehabilitation Hospital - SODR (Rehab),150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Parainfluenza,2023-05-08,2023-05-12,Inactive
3996,Centre for Addiction and Mental Health - Queen Street Site - Unit 3-3,1001 Queen Street West,Hospital-Psychiatric,Respiratory,Coronavirus,2023-05-05,2023-05-18,Inactive
3997,Fairview Nursing Home - 3rd Fl,14 Cross St,LTCH,Respiratory,Respiratory syncytial virus,2023-05-05,2023-05-16,Inactive
3998,"Fudger House - 1E, 1W, 2E & 3E",439 Sherbourne St,LTCH,Respiratory,Coronavirus,2023-05-04,2023-06-01,Inactive
3999,Scarborough Health Network - General Hospital - T7 - Med,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,2023-05-04,2023-05-17,Inactive
4000,"Scarborough Retirement Residence - 2nd, 4th & 7th Fl",148 Markham Rd,Retirement Home,Respiratory,Coronavirus,2023-05-04,2023-05-23,Inactive
4001,"Chester Village - 2E, 3E, 4E, 1W & 2W",3555 Danforth Ave,LTCH,Respiratory,Coronavirus,2023-05-03,2023-06-15,Inactive
4002,Belmont House - 3WW,55 Belmont St,LTCH,Respiratory,Metapneumovirus,2023-05-02,2023-05-18,Inactive
4003,North York General Hospital - Seniors' Health Centre - 2nd & 4th Fl,2 Buchan Crt,LTCH,Respiratory,Coronavirus,2023-05-02,2023-05-24,Inactive
4004,Lakeside Long Term Care Centre - 2nd & 3rd Fl,150 Dunn Ave,LTCH,Respiratory,Coronavirus,2023-05-01,2023-05-18,Inactive
4005,"Rockcliffe Care Community - 1st, 2nd & 3rd Fl",3015 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2023-05-01,2023-06-14,Inactive
4006,St. George Care Community - 2nd Fl,225 St. George St,LTCH,Respiratory,Coronavirus,2023-05-01,2023-05-16,Inactive
4007,Eatonville Care Centre - Unit 2 & 4,420 The East Mall,LTCH,Respiratory,Respiratory syncytial virus,2023-04-30,2023-05-11,Inactive
4008,Villa Colombo Homes for the Aged - 3 Fusco West,40 Playfair Ave,LTCH,Respiratory,Respiratory syncytial virus,2023-04-29,2023-05-08,Inactive
4009,Aspira Kensington Place Retirement Living - 6th Fl,866 Sheppard Ave,Retirement Home,Respiratory,Coronavirus,2023-04-28,2023-05-11,Inactive
4010,Christie Gardens - Annex Neighbourhood & Seaton Neighbourhood,600 Melita Cres,LTCH,Respiratory,Coronavirus,2023-04-28,2023-05-15,Inactive
4011,The Village Of Humber Heights - Islington,2245 Lawrence Ave W,LTCH,Respiratory,Metapneumovirus,2023-04-28,2023-05-15,Inactive
4012,Unity Health Toronto - St. Joseph's Health Centre - CYSTO Department,30 The Queensway,Hospital-Acute Care,Enteric,Unable to identify,2023-04-28,2023-05-03,Inactive
4013,Seven Oaks - 5th Fl,9 Neilson Rd,LTCH,Respiratory,Rhinovirus,2023-04-27,2023-05-08,Inactive
4014,Baycrest Hospital - North York - 6 West,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-26,2023-05-04,Inactive
4015,Centre for Addiction And Mental Health - GAU-A,1001 Queen St W,Hospital-Psychiatric,Respiratory,Streptococcus pyogenes,2023-04-26,2023-05-15,Inactive
4016,Main Street Terrace - 2nd Fl,77 Main St,LTCH,Respiratory,Coronavirus,2023-04-26,2023-05-08,Inactive
4017,One Kenton Place - 3rd Fl,1-3 Kenton Dr,Retirement Home,Respiratory,Coronavirus,2023-04-26,2023-05-04,Inactive
4018,Pine Villa Transitional Care,1035 Eglinton Ave W,Hospital-Chronic Care,Enteric,Norovirus,2023-04-26,2023-05-03,Inactive
4019,St. George Care Community - 1st Fl,225 St George St,LTCH,Respiratory,Rhinovirus,2023-04-26,2023-05-01,Inactive
4020,North York General Hospital - General Site - 5W (Medicine/Rehab),4001 Leslie Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-04-25,2023-05-09,Inactive
4021,Sunnybrook Health Sciences Centre - F2 & PICU,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Coronavirus,2023-04-25,2023-05-06,Inactive
4022,New Horizons Tower - 9th Fl,1140 Bloor St W,Retirement Home,Respiratory,Coronavirus,2023-04-24,2023-05-03,Inactive
4023,Presentation Manor for Seniors - 2nd Fl (IL & AL) & 3rd Fl (IL & AL),61 Fairfax Cres,Retirement Home,Respiratory,Coronavirus,2023-04-24,2023-05-10,Inactive
4024,Cummer Lodge - 3 North & 4 North,205 Cummer Ave,LTCH,Respiratory,Coronavirus,2023-04-23,2023-05-13,Inactive
4025,Cummer Lodge - 2 South,205 Cummer Ave,LTCH,Enteric,Unable to identify,2023-04-22,2023-05-01,Inactive
4026,Valleyview Residence - 2E & 2W,541 Finch Ave W,LTCH,Respiratory,Parainfluenza,2023-04-22,2023-05-23,Inactive
4027,Westside - 2nd & 4th Fl,1145 Albion Rd,LTCH,Respiratory,Coronavirus,2023-04-22,2023-05-18,Inactive
4028,Lakeside Long Term Care Centre - 1st Fl,150 Dunn Ave,LTCH,Respiratory,Metapneumovirus,2023-04-21,2023-05-05,Inactive
4029,Midland Gardens Care Community - 5th & 6th Fl,130 Midland Ave,LTCH,Respiratory,Coronavirus,2023-04-20,2023-05-12,Inactive
4030,Norfinch Care Community - Unit 3A,22 Norfinch Dr,LTCH,Respiratory,Metapneumovirus,2023-04-20,2023-05-03,Inactive
4031,St. George Care Community - 2nd Fl,225 St. George St,LTCH,Respiratory,Coronavirus,2023-04-20,2023-04-27,Inactive
4032,Chartwell Trilogy Long Term Care Residence - 2nd Fl,340 McCowan Rd,LTCH,Respiratory,Enterovirus,2023-04-19,2023-04-28,Inactive
4033,Craiglee Nursing Home - 3 East,102 Craiglee Dr,LTCH,Respiratory,Coronavirus,2023-04-19,2023-04-29,Inactive
4034,RCC - William Osler Health System - Church Site - 5th Fl,200 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-19,2023-04-24,Inactive
4035,"Bendale Acres - 2 West, 3rd & 6th Fl",2920 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2023-04-18,2023-05-26,Inactive
4036,Harmony Hills Care Community - 2nd Fl,1800 O'Connor Drive,LTCH,Respiratory,Coronavirus,2023-04-18,2023-04-27,Inactive
4037,Ina Grafton Gage Home - 1st Fl,40 Bell Estate Rd,LTCH,Respiratory,Enterovirus/Rhinovirus,2023-04-18,2023-05-11,Inactive
4038,Sunnybrook Health Sciences Centre - St. John's Rehab - A3,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-18,2023-04-26,Inactive
4039,The Briton House - 7th Fl (North Tower),700 & 720 Mount Pleasant Road,Retirement Home,Respiratory,Coronavirus,2023-04-18,2023-05-04,Inactive
4040,Cedarbrook Lodge Retirement Residence - 5th Fl,520 Markham Road,Retirement Home,Respiratory,Coronavirus,2023-04-17,2023-04-27,Inactive
4041,Harold and Grace Baker Centre - A & C Wing,1 Northwestern Ave,LTCH,Respiratory,Metapneumovirus,2023-04-17,2023-04-24,Inactive
4042,Jewish Home for the Aged - 7RF,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2023-04-17,2023-04-27,Inactive
4043,Unity Health - St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Enteric,Norovirus,2023-04-17,2023-04-25,Inactive
4044,University Health Network - Toronto Western - 8B,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-04-17,2023-04-28,Inactive
4045,University Health Network - Toronto Western - 9B,399 Bathurst Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-04-17,2023-04-25,Inactive
4046,William Osler Health System - 10W Respirology Unit,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2023-04-17,2023-05-03,Inactive
4047,Elm Grove Living Centre - 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,Coronavirus,2023-04-16,2023-04-25,Inactive
4048,RCC - Mackenzie Health Hospital - Finch Site - 4 East,2111 Finch Ave W,Transitional Care,Respiratory,Coronavirus,2023-04-16,2023-04-26,Inactive
4049,RCC - Mackenzie Health Hospital - Finch Site - 3 (West & East),2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-15,2023-05-01,Inactive
4050,Shepherd Terrace Retirement Residence - 5th Fl,3758 Sheppard Avenue E,Retirement Home,Respiratory,Coronavirus,2023-04-14,2023-04-27,Inactive
4051,UHN - Princess Margaret Hospital - 15B,610 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza,2023-04-14,2023-05-13,Inactive
4052,"Altamont Care Community - Wing 1, 2 & 3",92 Island Rd,LTCH,Respiratory,Coronavirus,2023-04-13,2023-05-01,Inactive
4053,Forest Hill Place,645 Castlefield Ave,Retirement Home,Respiratory,Coronavirus,2023-04-13,2023-04-27,Inactive
4054,RCC - Humber River Hospital - Church Site - A2N,200 Church Street,Transitional Care,Respiratory,Coronavirus,2023-04-13,2023-04-27,Inactive
4055,St. George Care Community - 5th Fl,225 St. George St,LTCH,Respiratory,Unable to identify,2023-04-13,2023-04-20,Inactive
4056,RCC - Southlake Regional Health Centre - Finch Site - 6 West,2111 Finch Ave W,Transitional Care,Respiratory,Coronavirus,2023-04-12,2023-04-25,Inactive
4057,Amica On the Avenue - Main Fl (Dining Rm),1066 Avenue Rd,Retirement Home,Respiratory,Coronavirus,2023-04-11,2023-04-21,Inactive
4058,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl North,2030 McNicoll Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2023-04-10,2023-04-17,Inactive
4059,Nisbet Lodge - 10th & 11th Fl,740 Pape Ave,LTCH,Respiratory,Coronavirus,2023-04-10,2023-04-26,Inactive
4060,Nisbet Lodge - 8th Fl,740 Pape Ave,LTCH,Enteric,Unable to identify,2023-04-10,2023-04-25,Inactive
4061,Runnymede Healthcare Centre - 3E,625 Runnymede Rd,Hospital-Chronic Care,Enteric,Norovirus,2023-04-10,2023-04-19,Inactive
4062,"The Kensington Gardens - 3W, 4E & 4W",25 Brunswick Ave,LTCH,Respiratory,Coronavirus,2023-04-10,2023-04-28,Inactive
4063,Unity Health Toronto - St. Michael's - 9CG,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-04-10,2023-04-18,Inactive
4064,Villa Colombo Homes for the Aged - 3 Fusco (North & South),40 Playfair Ave,LTCH,Respiratory,Respiratory syncytial virus,2023-04-10,2023-05-01,Inactive
4065,The Heritage Nursing Home - 1st Fl,1195 Queen St E,LTCH,Respiratory,Respiratory syncytial virus,2023-04-09,2023-04-21,Inactive
4066,Unity Health Toronto - St. Michael's - 7CCV,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2023-04-09,2023-04-22,Inactive
4067,Downsview Long Term Care Centre - Unit 2N,3595 Keele St,LTCH,Respiratory,Metapneumovirus,2023-04-07,2023-04-17,Inactive
4068,North York General Hospital - Seniors' Health Centre - 1st Fl East & West Wing,2 Buchan Crt,LTCH,Respiratory,Enterovirus/Rhinovirus,2023-04-06,2023-04-18,Inactive
4069,One Kenton Place - 1st Fl,1-3 Kenton Dr,Retirement Home,Respiratory,Coronavirus,2023-04-06,2023-04-24,Inactive
4070,Sunnybrook Health Sciences Centre - St. John's Rehab - A4,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-06,2023-04-18,Inactive
4071,The Hospital for Sick Children - 6A,555 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza,2023-04-06,2023-04-20,Inactive
4072,West Park Healthcare Centre - 3EB,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-06,2023-04-13,Inactive
4073,"Chartwell Grenadier Retirement Residence - 2nd Fl (Unit B), 3rd Fl (Unit A & D) & 7th Fl (Unit C)",2100 Bloor Street W,Retirement Home,Respiratory,Coronavirus,2023-04-05,2023-04-25,Inactive
4074,Chartwell Trilogy Long Term Care Residence - 3rd & 6th Fl,340 McCowan Rd,LTCH,Respiratory,Coronavirus,2023-04-05,2023-04-25,Inactive
4075,Delmanor Prince Edward - 5th Fl,4180 Dundas Street W,Retirement Home,Respiratory,Coronavirus,2023-04-05,2023-04-24,Inactive
4076,Eatonville Care Centre - Unit 5,420 The East Mall,LTCH,Respiratory,Respiratory syncytial virus,2023-04-05,2023-04-24,Inactive
4077,McCowan Retirement Residence - 6th Fl,2881 Eglinton Avenue E,Retirement Home,Respiratory,Coronavirus,2023-04-05,2023-04-18,Inactive
4078,Sunnybrook Health Sciences Centre - St. John's Rehab - A2,285 Cummer Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-05,2023-04-13,Inactive
4079,Fountain View Care Community - 3B,1800 O'Connor Dr,LTCH,Respiratory,Coronavirus,2023-04-04,2023-04-17,Inactive
4080,Tony Stacey Centre for Veterans' Care - 2nd Fl South,59 Lawson Rd,LTCH,Respiratory,Coronavirus,2023-04-04,2023-04-12,Inactive
4081,Main Street Terrace - 1st Fl,77 Main St,LTCH,Respiratory,Coronavirus,2023-04-03,2023-04-19,Inactive
4082,Scarborough Health Network - Centenary Hospital - 8E,2867 Ellesmere Rd,Hospital-Acute Care,Other,CPE,2023-04-03,2023-05-08,Inactive
4083,The Teddington - 3rd Fl,4 Teddington Park Ave,Retirement Home,Respiratory,Coronavirus,2023-04-03,2023-04-11,Inactive
4084,Retirement Suites By The Lake - 2nd & 3rd Fl,2121 Kingston Rd,Retirement Home,Respiratory,Metapneumovirus,2023-04-02,2023-04-11,Inactive
4085,Sunnybrook Health Sciences Centre - St. John's Rehab - A (Lower Level),285 Cummer Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2023-04-02,2023-04-12,Inactive
4086,Eatonville Care Centre - Unit 3,420 The East Mall,LTCH,Respiratory,Coronavirus,2023-03-31,2023-04-19,Inactive
4087,"Mon Sheong Scarborough Long Term Care Centre - NPH, SPH, 3N & 3S",2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2023-03-30,2023-04-28,Inactive
4088,Village Of Humber Heights - Brule & Lambton,2245 Lawrence Ave W,LTCH,Respiratory,Influenza A,2023-03-30,2023-04-11,Inactive
4089,Weston Terrace Care Community - 2B,2005 Lawrence Ave W,LTCH,Respiratory,Metapneumovirus,2023-03-30,2023-04-18,Inactive
4090,Chester Village - 3W & 4W,3555 Danforth Ave,LTCH,Respiratory,Coronavirus,2023-03-29,2023-04-21,Inactive
4091,Bendale Acres - CSU,2920 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,2023-03-28,2023-04-11,Inactive
4092,Mon Sheong Home for the Aged - 2F,36 D'Arcy St,LTCH,Respiratory,Coronavirus,2023-03-28,2023-04-27,Inactive
4093,Terraces Of Baycrest,55 Ameer Ave,Retirement Home,Enteric,Norovirus,2023-03-28,2023-04-22,Inactive
4094,West Park Healthcare Centre - 3EA,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2023-03-28,2023-04-04,Inactive
4095,Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2023-03-27,2023-04-07,Inactive
4096,Rockcliffe Care Community - Ground Fl,3015 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2023-03-27,2023-04-09,Inactive
4097,Runnymede Healthcare Centre - 4 East,625 Runnymede Road,Hospital-Chronic Care,Respiratory,Coronavirus,2023-03-27,2023-03-30,Inactive
4098,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Coronavirus,2023-03-27,2023-04-18,Inactive
4099,The Dunfield Retirement Residence - Dining,77 Dunfield Ave,Retirement Home,Respiratory,Coronavirus,2023-03-27,2023-04-11,Inactive
4100,Wellesley Central Place - 2W,160 Wellesley St E,LTCH,Respiratory,Coronavirus,2023-03-27,2023-04-04,Inactive
4101,Deerwood Creek Care Community - 3A,70 Humberline Dr,LTCH,Respiratory,Coronavirus,2023-03-24,2023-04-06,Inactive
